# level 28 origin 3022,904 size 40x56 rooms 48
38	36	2	6	0	2
30	36	8	6	0	2
38	28	2	8	0	2
30	28	8	8	0	2
38	22	2	6	0	2
30	22	8	6	0	2
38	14	2	8	0	2
30	14	8	8	0	2
28	22	2	6	0	2
20	22	8	6	0	2
28	14	2	8	0	2
20	14	8	8	0	2
28	36	2	6	0	2
20	36	8	6	0	2
28	28	2	8	0	2
20	28	8	8	0	2
18	36	2	6	0	2
10	36	8	6	0	2
18	28	2	8	0	2
10	28	8	8	0	2
38	8	2	6	0	2
30	8	8	6	0	2
38	0	2	8	0	2
30	0	8	8	0	2
18	22	2	6	0	2
10	22	8	6	0	2
18	14	2	8	0	2
10	14	8	8	0	2
28	8	2	6	0	2
20	8	8	6	0	2
28	0	2	8	0	2
20	0	8	8	0	2
8	36	2	6	0	2
0	36	8	6	0	2
8	28	2	8	0	2
0	28	8	8	0	2
18	8	2	6	0	2
10	8	8	6	0	2
18	0	2	8	0	2
10	0	8	8	0	2
8	50	2	6	0	2
0	50	8	6	0	2
8	42	2	8	0	2
0	42	8	8	0	2
8	8	2	6	0	2
0	8	8	6	0	2
8	0	2	8	0	2
0	0	8	8	0	2
